;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;Ŕ;;2026-07-09;;;;;Médicaments internes;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coűt;Total;;;DIN;upc;;Classe AHFS
A.G.MELATONINE DISS/RAPIDE;;3 MG;;;;;80055875;;;_;;SANTE NAT.;252;222;44;0.10;21.09;;;80055875;63935026088;;Autres médicaments
AA FENO SUPER;;160 MG;;;;;2246860;;;_;;AA PHARMA;84;42;48;0.29;12.18;;;2246860;660933003020;;Autres médicaments
AA LEVOCARB CR;;100-25 MG;;;;;2272873;;;_;;AA PHARMA;126;43;96;0.85;36.49;;;2272873;660933002818;;Autres médicaments
AA LEVOCARB CR;;200-50 MG;;;;;2245211;;;_;;AA PHARMA;154;15;292;1.52;22.82;;;2245211;660933002825;;Autres médicaments
AA METOPROLOL SR;;100 MG;;;;;2285169;;;_;;AA PHARMA;140;97;327;0.42;40.60;;;2285169;771313173643;;Autres médicaments
ACCEL SEVELAMER;;800 MG;;;;;2461501;;;_;;ACCEL;2240;0;178;1.35;0.00;;;2461501;627618000965;;Autres médicaments
ACETAMINOPHENE;;500 MG;;;;;2362228;;;_;;RIVA;5174;0;205;0.02;0.00;;;2362228;775848603514;;Autres médicaments
ACETAMINOPHENE;;500 MG;;;;;2362228;;;_;;RIVA;5174;373;206;0.02;5.67;;;2362228;775848603514;;Autres médicaments
ACETAMINOPHENE;;325 MG;;;;;2362198;;;_;;RIVA;4242;282;229;0.01;3.41;;;2362198;775848602517;;Autres médicaments
ACETAMINOPHENE;;325 MG;;;;;2022214;;;_;;RIVA;1694;91;288;0.01;1.10;;;2022214;775848602012;;Autres médicaments
AMITRIPTYLINE;;50 MG;;;;;456349;;;_;;PRO DOC;154;148;135;0.11;16.92;;;456349;779219003118;;Autres médicaments
APO AMIODARONE;;200 MG;;;;;2246194;;;_;;APOTEX;408;385;52;0.39;151.81;;;2246194;771313186872;;Autres médicaments
APO APIXABAN;;2.5 MG;;;;;2487381;;;_;;APOTEX;4620;670;269;0.44;291.45;;;2487381;771313255189;;Autres médicaments
APO ARIPIPRAZOLE;;15 MG;;;;;2471116;;;_;;APOTEX;140;245;46;1.35;331.09;;;2471116;771313246781;;Autres médicaments
APO ARIPIPRAZOLE;;20 MG;;;;;2471124;;;_;;APOTEX;42;283;47;1.07;301.99;;;2471124;771313246798;;Autres médicaments
APO ARIPIPRAZOLE;;10 MG;;;;;2471108;;;_;;APOTEX;98;290;141;1.15;332.25;;;2471108;771313246774;;Autres médicaments
APO ARIPIPRAZOLE;;2 MG;;;;;2471086;;;_;;APOTEX;126;184;247;0.86;158.50;;;2471086;771313246750;;Autres médicaments
APO ARIPIPRAZOLE;;5 MG;;;;;2471094;;;_;;APOTEX;238;534;341;0.96;514.56;;;2471094;771313246767;;Autres médicaments
APO ATORVASTATIN;;40 MG;;;;;2295296;;;_;;APOTEX;3780;499;214;0.25;124.40;;;2295296;771313189712;;Autres médicaments
APO ATORVASTATIN;;10 MG;;;;;2295261;;;_;;APOTEX;2550;367;224;0.19;68.15;;;2295261;771313189507;;Autres médicaments
APO ATORVASTATIN;;20 MG;;;;;2295288;;;_;;APOTEX;3199;915;239;0.23;212.37;;;2295288;771313189699;;Autres médicaments
APO ATORVASTATIN;;80 MG;;;;;2295318;;;_;;APOTEX;2135;317;255;0.25;79.03;;;2295318;771313208796;;Autres médicaments
APO BACLOFEN;;10 MG;;;;;2139332;;;_;;APOTEX;574;776;264;0.17;131.76;;;2139332;771313076500;;Autres médicaments
APO BISOPROLOL;;5 MG;;;;;2256134;;;_;;APOTEX;2328;692;211;0.06;44.50;;;2256134;771313165525;;Autres médicaments
APO BISOPROLOL;;10 MG;;;;;2256177;;;_;;APOTEX;448;226;372;0.09;21.31;;;2256177;771313164436;;Autres médicaments
APO COLESEVELAM;;625 MG;;;;;2494051;;;_;;APOTEX;504;59;279;0.63;37.27;;;2494051;771313253147;;Autres médicaments
APO CYCLOBENZAPRINE;;10 MG;;;;;2177145;;;_;;APOTEX;112;686;383;0.11;74.50;;;2177145;771313077934;;Autres médicaments
APO DILTIAZ CD;;180 MG;;;;;2230998;;;_;;APOTEX;308;136;362;0.50;67.81;;;2230998;771313059794;;Autres médicaments
APO DUTASTERIDE PLAQ;;0.5 MG;;;;;2404206;;;_;;APOTEX;1751;341;215;0.27;93.06;;;2404206;771313234368;;Autres médicaments
APO ENALAPRIL;;20 MG;;;;;2019906;;;_;;APOTEX;98;280;104;0.34;95.26;;;2019906;771313180528;;Autres médicaments
APO ESCITALOPRAM PLAQ;;20 MG;;;;;2295024;;;_;;APOTEX;224;204;120;0.35;71.99;;;2295024;771313230452;;Autres médicaments
APO ESCITALOPRAM PLAQ;;10 MG;;;;;2295016;;;_;;APOTEX;280;356;197;0.33;117.98;;;2295016;771313230445;;Autres médicaments
APO FLECAINIDE;;50 MG;;;;;2275538;;;_;;APOTEX;182;216;396;0.15;31.95;;;2275538;771313248631;;Autres médicaments
APO FLUOXETINE;;10 MG;;;;;2216353;;;_;;APOTEX;28;594;111;0.36;215.56;;;2216353;771313080392;;Autres médicaments
APO FLUOXETINE;;20 MG;;;;;2216361;;;_;;APOTEX;168;432;380;0.35;152.45;;;2216361;771313080408;;Autres médicaments
APO FLUVOXAMINE;;50 MG;;;;;2231329;;;_;;APOTEX;406;210;167;0.58;121.19;;;2231329;771313127158;;Autres médicaments
APO FUROSEMIDE;;80 MG;;;;;707570;;;_;;APOTEX;1899;0;8;0.07;0.00;;;707570;771313003872;;Autres médicaments
APO FUROSEMIDE;;20 MG;;;;;396788;;;_;;APOTEX;4218;1529;225;0.02;33.79;;;396788;771313003797;;Autres médicaments
APO FUROSEMIDE;;40 MG;;;;;362166;;;_;;APOTEX;3488;194;260;0.03;6.65;;;362166;771313003858;;Autres médicaments
APO GABAPENTIN;;400 MG;;;;;2244306;;;_;;APOTEX;826;150;86;0.13;19.29;;;2244306;771313137959;;Autres médicaments
APO GABAPENTIN;;100 MG (BOUT.);;;;;2244304;;;_;;APOTEX;1336;839;149;0.04;37.17;;;2244304;771313137935;;Autres médicaments
APO GABAPENTIN;;600 MG;;;;;2293358;;;_;;APOTEX;350;401;180;0.19;77.35;;;2293358;771313252867;;Autres médicaments
APO GLICLAZIDE;;80 MG;;;;;2245247;;;_;;APOTEX;574;300;13;0.10;29.76;;;2245247;771313135924;;Autres médicaments
APO GLICLAZIDE MR;;60 MG;;;;;2407124;;;_;;APOTEX;2660;196;203;0.07;13.15;;;2407124;771313236584;;Autres médicaments
APO GLICLAZIDE MR;;30 MG;;;;;2297795;;;_;;APOTEX;2394;967;208;0.10;95.93;;;2297795;771313240390;;Autres médicaments
APO GLYBURIDE;;2.5 MG;;;;;1913654;;;_;;APOTEX;70;959;73;0.03;32.89;;;1913654;771313003940;;Autres médicaments
APO GLYBURIDE;;5 MG;;;;;1913662;;;_;;APOTEX;770;299;209;0.06;18.15;;;1913662;771313003964;;Autres médicaments
APO GUANFACINE XR;;3 MG;;;;;2523744;;;_;;APOTEX;56;0;375;2.35;0.00;;;2523744;771313255639;;Autres médicaments
APO HYDRALAZINE;;10 MG;;;;;441619;;;_;;APOTEX;336;564;267;0.04;21.49;;;441619;771313004381;;Autres médicaments
APO HYDRO;;25 MG;;;;;326844;;;_;;APOTEX;574;1136;31;0.02;19.43;;;326844;771313004497;;Autres médicaments
APO HYDRO;;12.5 MG;;;;;2327856;;;_;;APOTEX;777;603;216;0.01;5.19;;;2327856;771313190046;;Autres médicaments
APO HYDROXYQUINE;;200 MG;;;;;2246691;;;_;;APOTEX;614;173;257;0.17;29.05;;;2246691;771313158459;;Autres médicaments
APO INDAPAMIDE;;2.5 MG;;;;;2223678;;;_;;APOTEX;448;393;145;0.13;49.40;;;2223678;771313124270;;Autres médicaments
APO LAMOTRIGINE;;100 MG;;;;;2245209;;;_;;APOTEX;938;1150;105;0.30;341.32;;;2245209;771313157605;;Autres médicaments
APO LAMOTRIGINE;;25 MG;;;;;2245208;;;_;;APOTEX;854;600;248;0.07;44.58;;;2245208;771313157599;;Autres médicaments
APO LANSOPRAZOLE;;30 MG;;;;;2293838;;;_;;APOTEX;420;612;4;0.39;236.48;;;2293838;771313172479;;Autres médicaments
APO LEFLUNOMIDE;;20 MG;;;;;2256509;;;_;;APOTEX;28;84;316;2.82;236.52;;;2256509;771313164429;;Autres médicaments
APO LEVETIRACETAM;;500 MG;;;;;2285932;;;_;;APOTEX;756;211;253;0.42;87.90;;;2285932;771313171137;;Autres médicaments
APO LEVETIRACETAM;;250 MG;;;;;2285924;;;_;;APOTEX;168;241;321;0.34;82.45;;;2285924;771313171120;;Autres médicaments
APO LEVOCARB;;100-25 MG;;;;;2195941;;;_;;APOTEX;3990;186;163;0.17;32.16;;;2195941;771313080071;;Autres médicaments
APO LITHIUM CARB.;;150 MG;;;;;2242837;;;_;;APOTEX;1120;326;148;0.07;23.15;;;2242837;771313139069;;Autres médicaments
APO METOPROLOL;;25 MG;;;;;2246010;;;_;;APOTEX;3794;1986;212;0.07;136.24;;;2246010;771313178211;;Autres médicaments
APO METOPROLOL L (BLEU);;100 MG;;;;;751170;;;_;;APOTEX;532;856;274;0.13;113.76;;;751170;771313005623;;Autres médicaments
APO METOPROLOL L (ROSE);;50 MG;;;;;749354;;;_;;APOTEX;1722;1118;256;0.07;74.24;;;749354;771313005616;;Autres médicaments
APO MIDODRINE;;5 MG;;;;;2278685;;;_;;APOTEX;1408;107;169;0.20;21.89;;;2278685;771313174619;;Autres médicaments
APO MIDODRINE;;2.5 MG;;;;;2278677;;;_;;APOTEX;392;274;346;0.12;33.67;;;2278677;771313174626;;Autres médicaments
APO MODAFINIL;;100 MG;;;;;2285398;;;_;;APOTEX;56;286;300;0.34;96.64;;;2285398;771313239554;;Autres médicaments
APO NALTREXONE;;50 MG;;;;;2444275;;;_;;APOTEX;126;8;347;2.99;23.92;;;2444275;771313242745;;Autres médicaments
APO OLANZAPINE;;5 MG;;;;;2281805;;;_;;APOTEX;322;66;124;0.38;24.89;;;2281805;771313171298;;Autres médicaments
APO OLANZAPINE;;2.5 MG;;;;;2281791;;;_;;APOTEX;70;273;196;0.19;51.49;;;2281791;771313171281;;Autres médicaments
APO OLANZAPINE;;10 MG;;;;;2281821;;;_;;APOTEX;168;116;381;0.75;87.50;;;2281821;771313171274;;Autres médicaments
APO OLANZAPINE;;7.5 MG;;;;;2281813;;;_;;APOTEX;70;76;386;0.57;43.05;;;2281813;771313171304;;Autres médicaments
APO OMEPRAZOLE;;20 MG;;;;;2245058;;;_;;APOTEX;329;18;339;0.24;4.38;;;2245058;771313157308;;Autres médicaments
APO OXCARBAZEPINE;;300 MG;;;;;2284308;;;_;;APOTEX;252;548;108;0.77;422.73;;;2284308;771313172516;;Autres médicaments
APO PANTOPRAZOLE;;40 MG;;;;;2292920;;;_;;APOTEX;13002;204;232;0.22;43.86;;;2292920;771313257046;;Autres médicaments
APO PANTOPRAZOLE;;40 MG;;;;;2292920;;;_;;APOTEX;13002;596;233;0.22;128.14;;;2292920;771313257046;;Autres médicaments
APO PAROXETINE;;30 MG;;;;;2240909;;;_;;APOTEX;140;186;154;0.37;68.43;;;2240909;771313131742;;Autres médicaments
APO PAROXETINE;;20 MG;;;;;2240908;;;_;;APOTEX;434;164;173;0.35;56.81;;;2240908;771313131728;;Autres médicaments
APO PAROXETINE;;10 MG;;;;;2240907;;;_;;APOTEX;56;350;344;0.32;113.51;;;2240907;771313131711;;Autres médicaments
APO PRAVASTATIN;;10 MG;;;;;2243506;;;_;;APOTEX;166;167;22;0.31;51.89;;;2243506;771313139465;;Autres médicaments
APO PRAVASTATIN;;40 MG;;;;;2243508;;;_;;APOTEX;210;222;153;0.44;97.99;;;2243508;771313139489;;Autres médicaments
APO PREDNISONE;;5 MG;;;;;312770;;;_;;APOTEX;994;1683;61;0.02;39.72;;;312770;771313007207;;Autres médicaments
APO PROPAFENONE;;150 MG;;;;;2243324;;;_;;APOTEX;84;274;368;0.67;183.96;;;2243324;771313138192;;Autres médicaments
APO RAMIPRIL;;2.5 MG;;;;;2251531;;;_;;APOTEX;476;54;23;0.09;4.70;;;2251531;771313171380;;Autres médicaments
APO RAMIPRIL;;5 MG;;;;;2251574;;;_;;APOTEX;602;121;35;0.09;10.54;;;2251574;771313171410;;Autres médicaments
APO RAMIPRIL;;1.25 MG;;;;;2251515;;;_;;APOTEX;224;44;97;0.08;3.32;;;2251515;771313171328;;Autres médicaments
APO RAMIPRIL;;10 MG;;;;;2251582;;;_;;APOTEX;434;376;337;0.11;41.36;;;2251582;771313171359;;Autres médicaments
APO SIMVASTATIN;;20 MG;;;;;2247013;;;_;;APOTEX;312;236;88;0.27;62.87;;;2247013;771313158350;;Autres médicaments
APO SIMVASTATIN;;40 MG;;;;;2247014;;;_;;APOTEX;84;57;89;0.27;15.14;;;2247014;771313158381;;Autres médicaments
APO SIMVASTATIN;;10 MG;;;;;2247012;;;_;;APOTEX;262;364;323;0.22;78.51;;;2247012;771313158336;;Autres médicaments
APO SITAGLIPTIN MALATE;;25 MG;;;;;2508656;;;_;;APOTEX;196;0;371;0.87;0.00;;;2508656;771313257244;;Autres médicaments
APO TERAZOSIN;;2 MG;;;;;2234503;;;_;;APOTEX;140;279;20;0.25;69.36;;;2234503;771313128032;;Autres médicaments
APO TERAZOSIN;;5 MG;;;;;2234504;;;_;;APOTEX;126;414;146;0.72;299.86;;;2234504;771313128056;;Autres médicaments
APO TRIAZIDE;;50-25 MG;;;;;441775;;;_;;APOTEX;28;177;276;0.06;11.43;;;441775;771313008648;;Autres médicaments
APO VALPROIC;;250 MG;;;;;2238048;;;_;;APOTEX;112;188;1;0.31;58.15;;;2238048;771313129305;;Autres médicaments
AVENTYL;;25 MG;;;;;15237;;;_;;AA PHARMA;28;52;317;0.65;33.54;;;15237;660933001743;;Autres médicaments
CALCITRIOL;;0.25 MCG;;;;;2431637;;;_;;ODAN;311;255;172;0.25;63.57;;;2431637;776097671002;;Autres médicaments
CENTRUM FORTE ESSENTIEL;;ADULTE;;;;;80037227;;;_;;GLAXO SK C;196;87;27;0.16;13.80;;;80037227;62107088947;;Autres médicaments
CENTRUM HOMME 50+;;_;;;;;80043120;;;_;;GLAXO SK C;154;148;265;0.16;23.04;;;80043120;62107084802;;Autres médicaments
CLOZARIL;;100 MG;;;;;894745;;;_;;NOVARTIS;616;272;15;4.02;1 094.42;;;894745;827758831065;;Autres médicaments
CORTEF;;10 MG;;;;;30910;;;_;;PFIZER;236;98;293;0.23;22.81;;;30910;621745013096;;Autres médicaments
COTAZYM ECS-20;;_;;;;;821373;;;_;;ORGANON;168;46;85;0.94;43.26;;;821373;620959000182;;Autres médicaments
COVERSYL;;8 MG;;;;;2246624;;;_;;SERVIER;0;71;66;1.17;83.30;;;2246624;771547007813;;Autres médicaments
CRESTOR;;10 MG;;;;;2247162;;;_;;ASTRA ZENE;42;93;67;1.45;134.72;;;2247162;620641013995;;Autres médicaments
CRESTOR;;5 MG;;;;;2265540;;;_;;ASTRA ZENE;70;0;366;1.37;0.00;;;2265540;620641013988;;Autres médicaments
CTP 30;;30 MG;;;;;2296152;;;_;;SUNOVION;56;177;364;0.57;100.64;;;2296152;830802000669;;Autres médicaments
D-TABS;;10 000 UI;;;;;821772;;;_;;RIVA;2376;310;246;0.22;68.20;;;821772;775848102000;;Autres médicaments
DEXILANT;;60 MG;;;;;2354969;;;_;;TAKEDA;2037;81;176;0.39;31.30;;;2354969;627617915901;;Autres médicaments
DEXILANT;;30 MG;;;;;2354950;;;_;;TAKEDA;1008;0;324;0.39;0.00;;;2354950;627617905902;;Autres médicaments
DILANTIN;;100 MG;;;;;22780;;;_;;BGP PHARMA;210;468;388;0.07;33.42;;;22780;60093264024;;Autres médicaments
DOMPERIDONE;;10 MG;;;;;2236857;;;_;;PRO DOC;1190;2958;99;0.05;134.59;;;2236857;779219059528;;Autres médicaments
DULOXETINE PLAQ.;;30 MG;;;;;2495082;;;_;;RIVA;910;37;56;0.51;18.98;;;2495082;775848273052;;Autres médicaments
DULOXETINE PLAQ.;;60 MG;;;;;2495090;;;_;;RIVA;2137;135;285;1.04;140.45;;;2495090;775848273151;;Autres médicaments
FERAMAX PD THERAPEUTIQUE 150;;150 MG;;;;;80075623;;;_;;BIOSYENT;275;110;284;0.63;69.58;;;80075623;891339001246;;Autres médicaments
GEN CLOZAPINE;;25 MG;;;;;2247243;;;_;;MYLAN;56;321;68;0.70;225.37;;;2247243;772927005597;;Autres médicaments
GEN CLOZAPINE;;50 MG;;;;;2305003;;;_;;MYLAN;70;127;71;1.40;178.35;;;2305003;772927008628;;Autres médicaments
GEN CLOZAPINE;;100 MG;;;;;2247244;;;_;;MYLAN;504;177;286;2.82;498.52;;;2247244;772927005627;;Autres médicaments
GLUCOPHAGE;;500 MG;;;;;2099233;;;_;;S-AVENTIS;56;168;226;0.23;38.14;;;2099233;65914250934;;Autres médicaments
GLUMETZA;;1000 MG;;;;;2300451;;;_;;VALEANT;112;120;82;1.76;210.60;;;2300451;60752140317;;Autres médicaments
GLUMETZA;;500 MG;;;;;2268493;;;_;;VALEANT;84;330;90;0.87;288.45;;;2268493;60752140300;;Autres médicaments
INVOKANA;;300 MG;;;;;2425491;;;_;;JANSSEN;196;0;187;2.79;0.00;;;2425491;62773621394;;Autres médicaments
INVOKANA;;100 MG;;;;;2425483;;;_;;JANSSEN;168;92;367;2.79;256.49;;;2425483;62773621387;;Autres médicaments
JAMIESON MELATONINE;;5 MG;;;;;80021179;;;_;;JAMIESON;308;310;150;0.11;33.45;;;80021179;64642062123;;Autres médicaments
JAMIESON MELATONINE;;3 MG;;;;;80015041;;;_;;JAMIESON;630;63;343;0.08;5.13;;;80015041;64642059000;;Autres médicaments
JAMIESON VIT.B2;;100 MG;;;;;309702;;;_;;JAMIESON;896;0;322;0.11;0.00;;;309702;64642022097;;Autres médicaments
JAMP-SENNA;;8.6 MG;;;;;80110688;;;_;;JAMPPHARMA;2814;341;240;0.05;16.81;;;80110688;622082283371;;Autres médicaments
JAMP ACIDE FOLIQUE;;5 MG;;;;;2366061;;;_;;JAMPPHARMA;522;491;313;0.04;19.30;;;2366061;622082281193;;Autres médicaments
JAMP ACIDE FOLIQUE;;1 MG;;;;;80053274;;;_;;JAMPPHARMA;206;985;350;0.02;15.46;;;80053274;622082282602;;Autres médicaments
JAMP ALLOPURINOL;;300 MG;;;;;2421615;;;_;;JAMPPHARMA;350;154;29;0.23;34.87;;;2421615;622082289885;;Autres médicaments
